frame_id,t_capture_ns,t_estimate_ns,t_control_ns,t_actuate_ns,cap_to_est_ms,est_to_ctrl_ms,ctrl_to_act_ms,total_ms
283,1185752417463,1185754761063,1185754762174,1185754790617,2.3436,0.001111,0.028443,2.37315
284,1185785732202,1185788118207,1185788119189,1185788132336,2.386,0.000982,0.013147,2.40013
285,1185819061901,1185821641374,1185821642800,1185821658891,2.57947,0.001426,0.016091,2.59699
286,1185852524183,1185854897411,1185854898651,1185854925427,2.37323,0.00124,0.026776,2.40124
287,1185885769387,1185888125116,1185888126968,1185888146799,2.35573,0.001852,0.019831,2.37741
288,1185919051885,1185921415039,1185921415983,1185921431427,2.36315,0.000944,0.015444,2.37954
289,1185953170400,1185955757113,1185955759113,1185955785574,2.58671,0.002,0.026461,2.61517
290,1185985753797,1185988148004,1185988149541,1185988168262,2.39421,0.001537,0.018721,2.41446
291,1186019051479,1186021473666,1186021474814,1186021494257,2.42219,0.001148,0.019443,2.44278
292,1186052368437,1186054756923,1186054758201,1186054772811,2.38849,0.001278,0.01461,2.40437
293,1186085698950,1186088064549,1186088066104,1186088079640,2.3656,0.001555,0.013536,2.38069
294,1186119010038,1186121374656,1186121375655,1186121391229,2.36462,0.000999,0.015574,2.38119
295,1186152321627,1186154666005,1186154667153,1186154683059,2.34438,0.001148,0.015906,2.36143
296,1186185672305,1186188022775,1186188024479,1186188041885,2.35047,0.001704,0.017406,2.36958
297,1186218964061,1186221398970,1186221400396,1186221412932,2.43491,0.001426,0.012536,2.44887
298,1186252334479,1186254707207,1186254708410,1186254724872,2.37273,0.001203,0.016462,2.39039
